location_id,location_name,location_type,category,lat,lon,society,stock_npk_bags_est,stock_can_bags_est,stock_lime_bags_est,demand_npk_bags_est,demand_can_bags_est,demand_lime_bags_est,source
F05,Mushagara Coffee Factory,factory,coffee_factory,-0.41839,37.358649,Baragwi FCS,,,,1174,1409,1174,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F06,Gachami Coffee Factory,factory,coffee_factory,-0.443407,37.368027,Baragwi FCS,,,,2355,2826,2355,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F07,Konyu Coffee Factory,factory,coffee_factory,-0.543367,37.326494,Kabare FCS,,,,345,414,345,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F08,Thunguri Coffee Factory,factory,coffee_factory,-0.559251,37.158225,Kibirigwi FCS,,,,1505,1806,1505,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F09,Kiandieri Coffee Factory,factory,coffee_factory,-0.500398,37.283446,Inoi FCS,,,,175,210,175,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F10,Rutui Coffee Factory,factory,coffee_factory,-0.491453,37.280532,Inoi FCS,,,,362,434,362,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F11,Kiang'ombe Coffee Factory,factory,coffee_factory,-0.545471,37.335991,Kabare FCS,,,,752,902,752,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F12,Guama Coffee Factory,factory,coffee_factory,-0.436799,37.373277,Baragwi FCS,,,,1144,1373,1144,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F13,Kiri Coffee Factory,factory,coffee_factory,-0.442714,37.429183,Ngiriambu FCS,,,,544,652,544,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F14,Kiangothe Coffee Factory,factory,coffee_factory,-0.531036,37.332984,Kabare FCS,,,,675,810,675,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F15,Kimandi Coffee Factory,factory,coffee_factory,-0.521263,37.335519,Kabare FCS,,,,1341,1609,1341,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F16,Kariaini Coffee Factory,factory,coffee_factory,-0.405464,37.398149,Mwirua FCS,,,,649,778,649,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F17,Kamwangi Coffee Factory,factory,coffee_factory,-0.470819,37.484366,New Ngariama FCS,,,,1133,1360,1133,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F18,Karumandi Coffee Factory,factory,coffee_factory,-0.430607,37.38226,Baragwi FCS,,,,835,1002,835,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F19,Kerugoya Coffee Factory,factory,coffee_factory,-0.497353,37.297593,Inoi FCS,,,,1668,2001,1668,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F20,Kaitheri Coffee Factory,factory,coffee_factory,-0.491191,37.297387,Inoi FCS,,,,2152,2583,2152,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F21,Kiaragana Coffee Factory,factory,coffee_factory,-0.405977,37.401729,Mwirua FCS,,,,1911,2293,1911,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F22,Kegwa Coffee Factory,factory,coffee_factory,-0.452361,37.442947,Ngiriambu FCS,,,,335,403,335,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F23,Karani Coffee Factory,factory,coffee_factory,-0.537101,37.347664,Kabare FCS,,,,1543,1852,1543,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F24,Kariru Coffee Factory,factory,coffee_factory,-0.425995,37.38789,Baragwi FCS,,,,88,106,88,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F25,Thimu Coffee Factory,factory,coffee_factory,-0.417322,37.388324,Baragwi FCS,,,,88,105,88,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F26,Gathambi Coffee Factory,factory,coffee_factory,-0.407649,37.374548,Mwirua FCS,,,,119,143,119,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F27,Kagongo Coffee Factory,factory,coffee_factory,-0.437165,37.363183,Baragwi FCS,,,,481,577,481,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F28,Thaita Coffee Factory,factory,coffee_factory,-0.50426,37.276546,Inoi FCS,,,,1753,2103,1753,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
